id,artifact,criterion,gold,split,source_tag
028,types.py public surface includes class JevCheckDecision. test that public types have no vendor-specific names would fail.,Public decision types have no vendor-specific type names.,fail,calibrate,gxp
029,"Phase 5 table has 6 ISC rows; three are marked pass, two fail, one left as 'looks fine'. No binary mark on the last row.",Phase 5 records pass or fail for every binding Ideal State Criterion.,fail,calibrate,gxp
030,git diff --name-only main lists experiments/jev-pilot-b/README.md and adapters/grok/ai-workflow/SKILL.md. Extra-path grep is non-empty.,All changed paths are under experiments/jev-pilot-b/.,fail,holdout,gxp
031,"CASCADE_ORDER was edited to ('jev', 'rules', 'llm', 'human'). README still lists rules first. unittest test_default_order_and_human_terminal fails.","Cascade order is rules, then jev, then llm, then human.",fail,calibrate,gxp
032,PR also edits adapters/grok-bot/instructions/cursor-handoff.md to call gate_g1 from chat. Experiment README still says not a product adapter.,This change does not wire a product bot.,fail,calibrate,gxp
033,bash scripts/verify.sh; exit 2. Log: generate-adapter-workflows.py --check reported drift. Handoff still marks the suite green.,bash scripts/verify.sh exits 0.,fail,holdout,gxp
034,HumanProvider.decide returns abstained=True and decision=pass. Cascade would skip the terminal slot.,The human backend is terminal and does not abstain.,fail,calibrate,gxp
035,"RulesProvider empty hooks return decision=pass, abstained=False. Cascade stops at rules without calling jev.",An abstaining rules backend does not emit a final pass or fail.,fail,calibrate,gxp
036,Filled sheet has 96 JSONL lines. ids skip 040-055. Loader reports len(rows)=96.,The filled label sheet has exactly 120 unique ids.,fail,holdout,gxp
037,"README Metrics section lists accuracy and latency only. calibration, cost, abstention, disagreement are absent.","README lists accuracy, calibration, latency, cost, abstention, and disagreement.",fail,calibrate,gxp
038,"Handoff: 'verify looked green on my laptop.' No command, exit code, or log path. CI has not run.",bash scripts/verify.sh exits 0.,needs_review,calibrate,gxp
039,gate_g1 is called in a loop over a list of five criteria and returns only the last DecideResult. No per-criterion record.,Gate G1 evaluates exactly one criterion per call.,fail,holdout,gxp
040,git diff main -- core/workflow.md not attached. Author says they did not touch it. No empty-diff transcript.,core/workflow.md is untouched versus main.,needs_review,calibrate,gxp
041,Phase 5 heading exists. Table is 'will fill after lunch'. Zero pass/fail marks recorded.,Phase 5 records pass or fail for every binding Ideal State Criterion.,needs_review,calibrate,gxp
042,Handoff says Layer 2 'spot-checked a few rows' without naming which ISC or which commands.,Two-layer verify ran: project suite then criterion-edge checks.,needs_review,holdout,gxp
043,Screenshot of a terminal titled verify.sh; the visible fragment is '... PASS' with the command line scrolled off. Exit code not shown.,bash experiments/jev-pilot-b/verify.sh exits 0.,needs_review,calibrate,gxp
044,Author notes 'no secrets' but the diff is a binary patch the reviewer cannot grep. No text dump of added files.,The experiment diff contains no secrets.,needs_review,calibrate,gxp
045,Cascade README lists four providers. Code review comment asks whether llm was omitted in the run; no CASCADE_ORDER dump attached.,"Cascade order is rules, then jev, then llm, then human.",needs_review,holdout,gxp
046,"Handoff: 'public types look clean.' No file path, no grep, no test name cited.",Public decision types have no vendor-specific type names.,needs_review,calibrate,gxp
047,Isolation note: 'pretty sure only experiment files changed' without git diff --name-only output.,All changed paths are under experiments/jev-pilot-b/.,needs_review,calibrate,gxp
048,"Label-sheet PR description says N is 'about 120' and attach is a spreadsheet screenshot, not a JSONL parse log.",The filled label sheet has exactly 120 unique ids.,needs_review,holdout,gxp
049,shop-local.yaml: model is null. defaults.model is llama3.1:8b. Router log: 'SHOP_MODEL unset; using defaults.model=llama3.1:8b'.,"When SHOP_MODEL is unset, the router uses the documented default model.",pass,calibrate,shop
050,local llm client config: keep_alive: 10m. Startup log: ollama keep_alive=10m0s applied to llama3.1:8b.,keep_alive is set on the local model server session.,pass,calibrate,shop
051,write_plan: dest=experiments/jev-pilot-b/README.md exists. fail_closed=true. Writer proceeds. dest missing would abort.,Writes fail closed when the destination path is missing.,pass,calibrate,shop
052,install-grok-build.sh dry-run: protected dirs gxp-ai-workflow and tinker-tools-ai-workflow listed as never written. No copy into those paths.,The installer does not write the tinker-tools-ai-workflow skill directory.,pass,calibrate,shop
053,allow_remote_write: false. Attempted PUT https://shop.example.invalid/models skipped. Log: refuse remote write (fail-closed).,Remote writes are refused when allow_remote_write is false.,pass,calibrate,shop
054,SHOP_MODEL=qwen2.5:7b. Router log uses qwen2.5:7b and does not fall back to defaults.model.,"When SHOP_MODEL is set, the router uses that model rather than the default.",pass,calibrate,shop
055,Routing table: unknown engine_id=composer-experimental maps to defaults.model. Log: unknown engine; using default (fail-closed to known local).,Unknown engine ids fall back to the documented default model.,pass,calibrate,shop
056,Writer target ~/.grok/skills/gxp-build/SKILL.md. Policy: only listed install destinations. Dry-run writes that path; does not touch gxp-ai-workflow.,Protected chat-skill directories stay untouched during a gxp-build install.,pass,calibrate,shop
057,keep_alive: 0 means unload immediately after the call. Client log: keep_alive=0s; model unloaded. Config comment documents that mapping.,keep_alive of 0 unloads the local model after the call.,pass,calibrate,shop
058,Missing dest /tmp/shop-scratch/out.md and fail_closed=true. Writer raises DestinationMissing and creates no file. ls /tmp/shop-scratch empty.,A missing destination plus fail_closed leaves no partial file.,pass,calibrate,shop
059,tinker-tools shop router: default_provider=local. No API host in the request. Trace: provider=local model=llama3.1:8b.,The shop-local router defaults to the local provider when none is named.,pass,calibrate,shop
060,SHOP_MODEL unset. Router log: 'using gpt-4o-remote' with no defaults.model in yaml (file has defaults: {}).,"When SHOP_MODEL is unset, the router uses the documented default model.",fail,calibrate,shop
061,local llm client config omits keep_alive. Startup log: keep_alive not applied; server uses process default of unload-immediately mid-batch.,keep_alive is set on the local model server session.,fail,calibrate,shop
062,dest path /no/such/dir/out.md missing. fail_closed=true but writer mkdir -p and writes anyway. File exists after the call.,Writes fail closed when the destination path is missing.,fail,calibrate,shop
063,install-grok-build.sh copies adapter files into ~/.grok/skills/tinker-tools-ai-workflow/. Dry-run log lists that destination as written.,The installer does not write the tinker-tools-ai-workflow skill directory.,fail,calibrate,shop
064,allow_remote_write: false. Client still POSTs weights to https://shop.example.invalid/sync. Log: uploaded 3 files.,Remote writes are refused when allow_remote_write is false.,fail,calibrate,shop
065,SHOP_MODEL=qwen2.5:7b. Router ignores it and uses defaults.model=llama3.1:8b. Log: override ignored.,"When SHOP_MODEL is set, the router uses that model rather than the default.",fail,calibrate,shop
066,unknown engine_id=composer-experimental. Router raises uncaught KeyError and writes a half-empty ~/.shop/last-route.json.,Unknown engine ids fall back to the documented default model.,fail,calibrate,shop
067,"keep_alive: 0 documented as unload, but client sends keep_alive=24h. nvidia-smi still shows the model resident after the call.",keep_alive of 0 unloads the local model after the call.,fail,calibrate,shop
068,shop-local.yaml snippet pasted without the defaults: block. Operator says 'we always use llama locally' with no router log.,"When SHOP_MODEL is unset, the router uses the documented default model.",needs_review,calibrate,shop
069,Comment in config: '# keep_alive TBD'. No startup log. Cannot see whether the local server received a keep_alive header.,keep_alive is set on the local model server session.,needs_review,calibrate,shop
070,Writer log: 'finished write'. Destination path not printed. fail_closed flag not shown. No ls of dest.,Writes fail closed when the destination path is missing.,needs_review,calibrate,shop
071,Install notes: 'did the usual skill install'. No dry-run listing of destinations. Home skills dir listing not attached.,The installer does not write the tinker-tools-ai-workflow skill directory.,needs_review,calibrate,shop
072,allow_remote_write is commented out. Operator is unsure whether the default is true or false. No request trace.,Remote writes are refused when allow_remote_write is false.,needs_review,calibrate,shop
073,SHOP_MODEL unset. shop-local.yaml defaults.model=mistral:7b. Router log: using defaults.model=mistral:7b.,"When SHOP_MODEL is unset, the router uses the documented default model.",pass,holdout,shop
074,Client sends Keep-Alive: 30m to the local runtime. Runtime ACK: session ttl=30m for phi3:mini.,keep_alive is set on the local model server session.,pass,holdout,shop
075,"dest=./scratch/out.txt missing, fail_closed=true. Writer exits 2 with DestinationMissing; scratch/ still absent (no mkdir).",A missing destination plus fail_closed leaves no partial file.,pass,holdout,shop
076,"gxp-build install log: Wrote ~/.grok/skills/gxp-build/. Protected: gxp-ai-workflow, tinker-tools-ai-workflow (never touched).",Protected chat-skill directories stay untouched during a gxp-build install.,pass,holdout,shop
077,default_provider omitted in shop-local.yaml. Documented default is local. Trace: provider=local (implicit default).,The shop-local router defaults to the local provider when none is named.,pass,holdout,shop
078,SHOP_MODEL=phi3:mini. Router log uses mistral:7b anyway because a stale env file later exported SHOP_MODEL empty and a bug treated empty as ignore-override.,"When SHOP_MODEL is set, the router uses that model rather than the default.",fail,holdout,shop
079,unknown engine_id=nightly-router. Client writes a remote job to shop.example.invalid instead of falling back to the local default model.,Unknown engine ids fall back to the documented default model.,fail,holdout,shop
080,"fail_closed=true, dest directory missing. Writer creates dest and a 0-byte out.md then errors on content flush. 0-byte file remains.",A missing destination plus fail_closed leaves no partial file.,fail,holdout,shop
081,allow_remote_write: false. Sync thread still writes embeddings.bin to the remote bucket 'for backup'. Log: backup upload ok.,Remote writes are refused when allow_remote_write is false.,fail,holdout,shop
082,Operator pasted a shop-local.yaml from memory. File on disk not shown. Cannot confirm defaults.model or SHOP_MODEL.,"When SHOP_MODEL is unset, the router uses the documented default model.",needs_review,holdout,shop
083,Chat says 'keep_alive is probably 10 minutes'. No config key and no runtime ACK.,keep_alive is set on the local model server session.,needs_review,holdout,shop
084,Install transcript cut off after 'copying skills'. Destination list not visible. Cannot tell if tinker-tools-ai-workflow was written.,The installer does not write the tinker-tools-ai-workflow skill directory.,needs_review,holdout,shop
085,Idea packet: landing waitlist form on a static page. Counter CSV: 12 unique emails in 7 days (2026-09-01..09-07). No customer names attached; ids are waitlist-001..012.,The packet includes a countable proof-of-product with N and a dated window.,pass,calibrate,idea_gate
086,POP note: 4 checkout-sandbox completions on the staging shop (order ids STG-1001..1004) between 2026-08-20 and 2026-08-22. Amounts are fixture $1.00.,Evidence names at least one measured conversion count with identifiers.,pass,calibrate,idea_gate
087,"Idea packet: 'People will love a calmer inbox.' No count, no date, no artifact URL. Mood-board link only.",The packet includes a countable proof-of-product with N and a dated window.,fail,calibrate,idea_gate
088,"Evidence line: 'a few friends said they would pay.' No N, no dates, no quoted artifact. Friends not identified (and should not be).",Evidence names at least one measured conversion count with identifiers.,fail,calibrate,idea_gate
089,Gate form: problem statement filled; traction field is 'TBD'. Screenshot is a blank Figma frame named Hero-v0.,The packet includes a countable proof-of-product with N and a dated window.,fail,calibrate,idea_gate
090,POP section is a single adjective: 'viral'. Analytics export not attached. Criterion asked for a 7-day signup count.,Evidence names at least one measured conversion count with identifiers.,fail,calibrate,idea_gate
091,Packet cites 'N=plenty' and a year (2024) with no day range and no unique-id list. Spreadsheet is a title row only.,The packet includes a countable proof-of-product with N and a dated window.,fail,calibrate,idea_gate
092,Author writes 'we had signups last week' and attaches a cropped chart with no axis labels or N. Dates not readable.,The packet includes a countable proof-of-product with N and a dated window.,needs_review,calibrate,idea_gate
093,"Staging shop note: 'orders happened'. No order ids, no count. Operator declined to export because they feared pasting live emails.",Evidence names at least one measured conversion count with identifiers.,needs_review,calibrate,idea_gate
094,Idea-gate row has a URL to an internal doc the scorer cannot open. Visible excerpt is the title 'Traction'.,The packet includes a countable proof-of-product with N and a dated window.,needs_review,calibrate,idea_gate
095,"CSV attached with column headers day,count but zero data rows. Author says they will fill it after the weekend.",Evidence names at least one measured conversion count with identifiers.,needs_review,calibrate,idea_gate
096,"Screenshot of a waitlist counter widget showing '••'. Ambiguous whether the count is 0, hidden, or loading.",The packet includes a countable proof-of-product with N and a dated window.,needs_review,calibrate,idea_gate
097,"Packet lists synthetic fixture ids but not whether they were produced by a real walk or by seed data. Count=3, window missing.",Evidence names at least one measured conversion count with identifiers.,needs_review,calibrate,idea_gate
098,Voice note transcript: 'got some conversions.' No number. Author promises a dashboard tomorrow.,The packet includes a countable proof-of-product with N and a dated window.,needs_review,calibrate,idea_gate
099,Two screenshots of a landing page and a stripe test-mode toggle. No completion count. Test clock not shown.,Evidence names at least one measured conversion count with identifiers.,needs_review,calibrate,idea_gate
100,POP claim: 'N is in the thread somewhere.' Thread not attached. Only the idea title is in the artifact.,The packet includes a countable proof-of-product with N and a dated window.,needs_review,calibrate,idea_gate
101,"Idea packet is a slogan: 'inbox zero for shops.' Traction: none. No dated window, no N, no fixture ids.",The packet includes a countable proof-of-product with N and a dated window.,fail,holdout,idea_gate
102,Evidence is a stock photo of a dashboard. Filename hero.png. No numbers in the image alt text or packet body.,Evidence names at least one measured conversion count with identifiers.,fail,holdout,idea_gate
103,"Gate checklist: problem=yes, wedge=yes, POP=skipped. Author marked POP skipped as 'not needed for a prototype.'",The packet includes a countable proof-of-product with N and a dated window.,fail,holdout,idea_gate
104,Count given as '~8-ish signups' with no window and no unique ids. Author does not want to paste emails (correct) and provides no substitutes.,Evidence names at least one measured conversion count with identifiers.,needs_review,holdout,idea_gate
105,Dated window 2026-09-10..2026-09-16 is present; N field is blank. Chart file is 0 bytes.,The packet includes a countable proof-of-product with N and a dated window.,needs_review,holdout,idea_gate
106,Packet says 'see metrics.json' but the attachment is metrics.json.example with all zeros and a TODO.,Evidence names at least one measured conversion count with identifiers.,needs_review,holdout,idea_gate
107,Operator redacted the whole traction section as 'PII risk' and left no synthetic counts or ids in its place.,The packet includes a countable proof-of-product with N and a dated window.,needs_review,holdout,idea_gate
108,"Three bullet 'user stories' and no measurement. Stories use role names (operator, reviewer) only.",Evidence names at least one measured conversion count with identifiers.,needs_review,holdout,idea_gate
109,Diff adds a README sentence about cascade order. Author claims the team vibe improved.,The operator feels less stressed after the change.,fail,calibrate,adversarial
110,"unittest discover is green. Criterion offered: 'the code feels cleaner.' No lint delta, no complexity metric.",The codebase feels cleaner overall.,fail,calibrate,adversarial
111,"Shop router default model documented. Ask: 'users are happier with routing.' No user count, no survey instrument.",Users are happier with the new routing.,fail,calibrate,adversarial
112,PR description: 'small win.' File list is labels.jsonl plus README. Soft-win criterion provided instead of a binary ISC.,This change is a soft win for the program.,needs_review,calibrate,adversarial
113,Handoff lists verify.sh exit 0. Extra criterion: 'energy on the team is better this week.' No measurement attached.,Team energy is better this week.,needs_review,calibrate,adversarial
114,Artifact is a green CI badge. Criterion: 'reviewers will like this.' No reviewer comments yet.,Reviewers will like this change.,needs_review,calibrate,adversarial
115,README metrics table updated. Criterion: 'stakeholders feel more confident.' No stakeholder named (and should not be) and no vote.,Stakeholders feel more confident.,needs_review,calibrate,adversarial
116,Synthetic shop log shows keep_alive=10m. Criterion: 'ops will sleep better.' No on-call data.,Ops will sleep better after keep_alive is set.,needs_review,calibrate,adversarial
117,"Filled 120-row sheet. Criterion: 'this batch feels high quality.' No inter-rater plan, no spot-check sample listed.",The labelled batch feels high quality.,fail,holdout,adversarial
118,Cascade stub still abstains on llm. Criterion: 'we are closer to shipping Pilot B in spirit.' No gate checklist.,The project is closer to shipping in spirit.,needs_review,holdout,adversarial
119,Idea-gate thin packet correctly gold-labelled needs_review. Meta-criterion: 'the process feels kinder.' No scale or pre/post.,The process feels kinder to operators.,needs_review,holdout,adversarial
120,Isolation diff vs main is empty for core/ and adapters/. Extra criterion: 'this is obviously the right call.' No decision record.,This is obviously the right call.,needs_review,holdout,adversarial
